city,lng,lat,adcode,province,date,dayweather,nightweather,daytemp,nighttemp,daywind,nightwind,daypower,nightpower
青岛市,120.33,36.07,370200,山东,2024-12-11,晴,晴,8,1,北,北,1-3,1-3
青岛市,120.33,36.07,370200,山东,2024-12-12,多云,雨夹雪,5,1,北,北,1-3,1-3
青岛市,120.33,36.07,370200,山东,2024-12-13,雨夹雪,多云,4,0,西北,西北,5,5
青岛市,120.33,36.07,370200,山东,2024-12-14,晴,晴,4,0,西北,西北,4,4
东营市,118.49,37.46,370500,山东,2024-12-11,多云,多云,7,-2,北,北,1-3,1-3
东营市,118.49,37.46,370500,山东,2024-12-12,多云,雨夹雪,5,-1,北,北,1-3,1-3
东营市,118.49,37.46,370500,山东,2024-12-13,多云,晴,2,-4,西北,西北,1-3,1-3
东营市,118.49,37.46,370500,山东,2024-12-14,晴,晴,1,-3,北,北,1-3,1-3
枣庄市,117.57,34.86,370400,山东,2024-12-11,多云,多云,9,1,北,北,1-3,1-3
枣庄市,117.57,34.86,370400,山东,2024-12-12,多云,多云,7,1,北,北,1-3,1-3
枣庄市,117.57,34.86,370400,山东,2024-12-13,晴,晴,6,-2,北,北,1-3,1-3
枣庄市,117.57,34.86,370400,山东,2024-12-14,晴,晴,6,-3,北,北,1-3,1-3
济宁市,116.59,35.38,370800,山东,2024-12-11,多云,晴,8,-1,北,北,1-3,1-3
济宁市,116.59,35.38,370800,山东,2024-12-12,多云,多云,6,0,北,北,1-3,1-3
济宁市,116.59,35.38,370800,山东,2024-12-13,多云,多云,5,-4,北,北,1-3,1-3
济宁市,116.59,35.38,370800,山东,2024-12-14,晴,晴,6,-4,北,北,1-3,1-3
淄博市,118.05,36.78,370300,山东,2024-12-11,多云,多云,8,-5,北,北,1-3,1-3
淄博市,118.05,36.78,370300,山东,2024-12-12,阴,雨夹雪,8,-3,北,北,1-3,1-3
淄博市,118.05,36.78,370300,山东,2024-12-13,阴,晴,4,-6,北,北,1-3,1-3
淄博市,118.05,36.78,370300,山东,2024-12-14,晴,晴,6,-4,北,北,1-3,1-3
济南市,117.00,36.65,370100,山东,2024-12-11,多云,多云,7,-1,北,北,1-3,1-3
济南市,117.00,36.65,370100,山东,2024-12-12,阴,雨夹雪,7,0,北,北,1-3,1-3
济南市,117.00,36.65,370100,山东,2024-12-13,晴,晴,4,-3,北,北,1-3,1-3
济南市,117.00,36.65,370100,山东,2024-12-14,晴,晴,5,-2,北,北,1-3,1-3
潍坊市,119.10,36.62,370700,山东,2024-12-11,多云,多云,6,-3,北,北,1-3,1-3
潍坊市,119.10,36.62,370700,山东,2024-12-12,阴,雨夹雪,5,-1,北,北,1-3,1-3
潍坊市,119.10,36.62,370700,山东,2024-12-13,雨夹雪,晴,3,-5,西北,西北,1-3,1-3
潍坊市,119.10,36.62,370700,山东,2024-12-14,晴,晴,3,-4,北,北,1-3,1-3
临沂市,118.35,35.05,371300,山东,2024-12-11,多云,多云,8,-2,北,北,1-3,1-3
临沂市,118.35,35.05,371300,山东,2024-12-12,多云,阴,5,-1,北,北,1-3,1-3
临沂市,118.35,35.05,371300,山东,2024-12-13,多云,晴,5,-4,西北,西北,1-3,1-3
临沂市,118.35,35.05,371300,山东,2024-12-14,晴,晴,6,-3,北,北,1-3,1-3
烟台市,121.39,37.52,370600,山东,2024-12-11,多云,多云,6,1,东北,东北,4,4
烟台市,121.39,37.52,370600,山东,2024-12-12,阴,中雪,6,1,西,西,1-3,1-3
烟台市,121.39,37.52,370600,山东,2024-12-13,大雪,小雪,4,0,北,北,4,4
烟台市,121.39,37.52,370600,山东,2024-12-14,多云,晴,5,0,西,西,4,4
菏泽市,115.43,35.24,371700,山东,2024-12-11,晴,多云,7,0,北,北,1-3,1-3
菏泽市,115.43,35.24,371700,山东,2024-12-12,多云,多云,7,0,北,北,1-3,1-3
菏泽市,115.43,35.24,371700,山东,2024-12-13,多云,多云,5,-3,北,北,1-3,1-3
菏泽市,115.43,35.24,371700,山东,2024-12-14,晴,晴,6,-3,北,北,1-3,1-3
滨州市,118.03,37.36,371600,山东,2024-12-11,多云,多云,7,-2,北,北,1-3,1-3
滨州市,118.03,37.36,371600,山东,2024-12-12,阴,小雪,6,-1,北,北,1-3,1-3
滨州市,118.03,37.36,371600,山东,2024-12-13,多云,晴,3,-5,西北,西北,1-3,1-3
滨州市,118.03,37.36,371600,山东,2024-12-14,晴,晴,4,-4,北,北,1-3,1-3
德州市,116.29,37.45,371400,山东,2024-12-11,多云,多云,7,-2,北,北,1-3,1-3
德州市,116.29,37.45,371400,山东,2024-12-12,阴,小雪,6,-1,北,北,1-3,1-3
德州市,116.29,37.45,371400,山东,2024-12-13,晴,晴,4,-6,北,北,1-3,1-3
德州市,116.29,37.45,371400,山东,2024-12-14,晴,晴,5,-4,北,北,1-3,1-3
日照市,119.46,35.42,371100,山东,2024-12-11,多云,晴,8,0,北,北,1-3,1-3
日照市,119.46,35.42,371100,山东,2024-12-12,阴,雨夹雪,5,0,北,北,1-3,1-3
日照市,119.46,35.42,371100,山东,2024-12-13,小雨,多云,5,-2,北,北,4,4
日照市,119.46,35.42,371100,山东,2024-12-14,晴,晴,6,-1,北,北,1-3,1-3
聊城市,115.97,36.45,371500,山东,2024-12-11,晴,多云,7,-3,北,北,1-3,1-3
聊城市,115.97,36.45,371500,山东,2024-12-12,多云,多云,6,-1,北,北,1-3,1-3
聊城市,115.97,36.45,371500,山东,2024-12-13,晴,晴,5,-5,北,北,1-3,1-3
聊城市,115.97,36.45,371500,山东,2024-12-14,晴,晴,6,-6,北,北,1-3,1-3
威海市,122.10,37.51,371000,山东,2024-12-11,多云,多云,6,1,北,北,1-3,1-3
威海市,122.10,37.51,371000,山东,2024-12-12,阴,雨夹雪,5,1,北,北,1-3,1-3
威海市,122.10,37.51,371000,山东,2024-12-13,雨夹雪,阴,5,1,北,北,4,4
威海市,122.10,37.51,371000,山东,2024-12-14,多云,多云,4,0,西,西,1-3,1-3
泰安市,117.13,36.18,370900,山东,2024-12-11,多云,多云,8,-3,北,北,1-3,1-3
泰安市,117.13,36.18,370900,山东,2024-12-12,多云,小雨,5,-2,北,北,1-3,1-3
泰安市,117.13,36.18,370900,山东,2024-12-13,多云,晴,4,-5,北,北,1-3,1-3
泰安市,117.13,36.18,370900,山东,2024-12-14,晴,晴,5,-4,北,北,1-3,1-3